MEA_weight_fraction,temperature,pressure_MEA_raoult,total_pressure,CO2_pressure,CO2_loading
0.3,0,0.54,20000,19954,1.3275
0.3,0,0.54,15000,14967,1.291
0.3,0,0.54,10000,9979,1.291
0.3,0,0.54,6000,5989,1.221
0.3,0,0.54,3500,3495,1.14
0.3,0,0.54,3470,3468,1.132
0.3,0,0.54,1000,999,1.022
0.3,0,0.54,600,599,0.97
0.3,0,0.54,300,299,0.902
0.3,0,0.54,280,68.4,0.772
0.3,0,0.54,200,13.2,0.646
0.3,0,0.54,200,1.76,0.604
0.3,0,0.54,200,0.253,0.55
0.3,0,0.54,200,0.0236,0.495
0.3,0,0.54,200,0.00595,0.459
0.3,0,0.54,200,0.0012,0.4
0.3,25,2.8,20000,19936,1.247
0.3,25,2.8,15000,14955,1.209
0.3,25,2.8,10000,9973,1.17
0.3,25,2.8,6440,6425,1.1065
0.3,25,2.8,6410,6402,1.101
0.3,25,2.8,3000,2996,1.038
0.3,25,2.8,1000,996,0.9305
0.3,25,2.8,600,596,0.8495
0.3,25,2.8,300,297,0.812
0.3,25,2.8,100,97.2,0.6965
0.3,25,2.8,300,55.1,0.663
0.3,25,2.8,210,11.8,0.5855
0.3,25,2.8,200,2.8,0.536
0.3,25,2.8,200,0.392,0.494
0.3,25,2.8,200,0.06,0.439
0.3,25,2.8,300,0.00927,0.323
0.3,25,2.8,200,0.00213,0.211
0.3,40,6.6,20000,19914,1.1655
0.3,40,6.6,15000,14945,1.12
0.3,40,6.6,10000,9969,1.085
0.3,40,6.6,6000,5986,1.036
0.3,40,6.6,3000,2992,0.947
0.3,40,6.6,1000,993,0.826
0.3,40,6.6,600,593,0.786
0.3,40,6.6,300,293,0.71
0.3,40,6.6,110,103,0.642
0.3,40,6.6,210,36.1,0.609
0.3,40,6.6,230,8.09,0.557
0.3,40,6.6,220,2.57,0.513
0.3,40,6.6,210,0.604,0.4735
0.3,40,6.6,300,0.0677,0.365
0.3,40,6.6,200,0.00896,0.203
0.3,40,6.6,200,0.00147,0.0888
0.3,60,18,20000,19893,1.0955
0.3,60,18,15000,14931,1.0585
0.3,60,18,10000,9959,1.014
0.3,60,18,6000,5968,0.945
0.3,60,18,3000,2977,0.879
0.3,60,18,1000,982,0.7425
0.3,60,18,600,582,0.708
0.3,60,18,300,282,0.668
0.3,60,18,100,82,0.579
0.3,60,18,250,34,0.561
0.3,60,18,250,11,0.504
0.3,60,18,200,2.01,0.438
0.3,60,18,300,0.528,0.389
0.3,60,18,220,0.0579,0.206
0.3,60,18,260,0.0193,0.119
0.3,60,18,220,0.00428,0.0564
0.3,80,42,20000,19862,1.033
0.3,80,42,15000,14902,1.002
0.3,80,42,10000,9925,0.9575
0.3,80,42,6000,5943,0.888
0.3,80,42,3000,2951,0.8025
0.3,80,42,1000,958,0.689
0.3,80,42,600,558,0.64
0.3,80,42,500,235,0.5785
0.3,80,42,100,56,0.517
0.3,80,42,200,16,0.46
0.3,80,42,300,2.67,0.348
0.3,80,42,250,0.278,0.187
0.3,80,42,250,0.0992,0.118
0.3,80,42,250,0.0465,0.0781
0.3,80,42,280,0.00484,0.0236
0.3,80,42,250,0.00296,0.0174
0.3,100,91,20000,19812,0.941
0.3,100,91,15000,14842,0.914
0.3,100,91,10000,9871,0.856
0.3,100,91,6000,5891,0.81
0.3,100,91,3000,2899,0.705
0.3,100,91,1000,909,0.6135
0.3,100,91,600,509,0.571
0.3,100,91,700,376,0.589
0.3,100,91,200,109,0.481
0.3,100,91,160,69,0.477
0.3,100,91,130,39,0.422
0.3,100,91,110,19,0.381
0.3,100,91,300,1.43,0.188
0.3,100,91,300,0.136,0.0566
0.3,100,91,300,0.00724,0.0117
0.3,120,178,18000,17723,0.863
0.3,120,178,15000,14741,0.829
0.3,120,178,10000,9770,0.7815
0.3,120,178,6000,5809,0.7205
0.3,120,178,3000,2804,0.639
0.3,120,178,1000,822,0.536
0.3,120,178,600,422,0.473
0.3,120,178,400,222,0.444
0.3,120,178,300,122,0.4115
0.3,120,178,350,46.8,0.349
0.3,120,178,300,2.29,0.119
0.3,120,178,400,0.0984,0.0247
0.3,120,178,350,0.0221,0.0112
0.3,120,178,250,0.00202,0.00333
0.3,150,429,17000,16441,0.755
0.3,150,429,12000,11504,0.727
0.3,150,429,9000,8525,0.6505
0.3,150,429,5000,4544,0.583
0.3,150,429,2400,570,0.484
0.3,150,429,1000,560,0.388
0.3,150,429,850,420,0.358
0.3,150,429,730,123,0.301
0.3,150,429,630,34.2,0.153
0.3,150,429,600,2.63,0.0509
0.3,150,429,600,0.184,0.0134
0.3,150,429,520,0.0843,0.00992
0.3,150,429,650,0.0239,0.00496
0.3,150,429,600,0.00477,0.00199
